iter	Passed	Remaining
0	0	707
1	1	637
2	1	612
3	2	595
4	2	588
5	3	579
6	4	586
7	4	590
8	5	595
9	6	594
10	6	597
11	7	596
12	7	598
13	8	598
14	9	596
15	9	596
16	10	599
17	10	599
18	11	595
19	12	594
20	12	595
21	13	595
22	13	593
23	14	593
24	15	590
25	15	589
26	16	588
27	16	589
28	17	588
29	18	588
30	18	588
31	19	588
32	20	587
33	20	586
34	21	585
35	21	583
36	22	585
37	23	589
38	23	588
39	24	587
40	25	587
41	25	586
42	26	586
43	26	585
44	27	585
45	28	584
46	28	584
47	29	584
48	30	583
49	30	584
50	31	583
51	31	583
52	32	583
53	33	582
54	33	582
55	34	583
56	35	583
57	35	583
58	36	582
59	37	581
60	37	580
61	38	580
62	38	578
63	39	578
64	40	576
65	40	577
66	41	577
67	42	576
68	42	575
69	43	575
70	43	574
71	44	573
72	45	572
73	45	571
74	46	571
75	46	571
76	47	571
77	48	570
78	48	568
79	49	567
80	49	566
81	50	565
82	50	561
83	51	560
84	52	560
85	52	559
86	53	559
87	53	558
88	54	558
89	55	557
90	55	556
91	56	555
92	56	555
93	57	554
94	58	553
95	58	553
96	59	554
97	60	553
98	60	552
99	61	552
100	61	551
101	62	550
102	63	550
103	63	549
104	64	548
105	65	548
106	65	548
107	66	547
108	66	546
109	67	545
110	68	545
111	68	544
112	69	543
113	69	542
114	70	541
115	71	541
116	71	540
117	72	540
118	72	539
119	73	539
120	74	538
121	74	537
122	75	536
123	75	536
124	76	535
125	77	535
126	77	534
127	78	533
128	78	533
129	79	532
130	80	531
131	80	530
132	81	529
133	81	528
134	82	527
135	82	526
136	83	525
137	84	525
138	84	523
139	85	522
140	85	522
141	86	519
142	86	518
143	87	518
144	87	517
145	88	516
146	88	515
147	89	515
148	90	514
149	90	513
150	91	512
151	91	511
152	92	510
153	92	509
154	93	508
155	93	507
156	94	506
157	94	505
158	95	505
159	96	505
160	96	503
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	497
167	100	496
168	100	495
169	101	495
170	102	495
171	102	494
172	103	493
173	103	493
